Dates,Prec,ETP,Q_obs
01/01/02,0.0000,4.11761067062616,0
02/01/02,    0.0000,3.80119706969708,0
03/01/02,    0.0000,3.80372469965369,0
04/01/02,    0.0000,3.36847714986652,0
05/01/02,    0.0000,2.84869804047048,0
06/01/02,    0.0000,3.34010501019657,0
07/01/02,    0.0000,2.8177720727399,0
08/01/02,    0.0000,2.8960803905502,0
09/01/02,    0.0000,4.10229237936437,0
10/01/02,    0.0000,4.00938533060253,0
11/01/02,    0.0000,3.69305610004812,0
12/01/02,    0.0000,3.64924316015095,0
13/01/02,    0.0000,3.21520780026913,0
14/01/02,    0.0000,3.18366300035268,0
15/01/02,    0.0000,3.9016949897632,0
16/01/02,    0.0000,3.79151421040297,0
17/01/02,    0.0000,3.32360230572522,0
18/01/02,    0.0000,4.01283032074571,0
19/01/02,    0.0000,4.10457340069115,0
20/01/02,    0.0000,5.75579225830734,0
21/01/02,    0.0000,4.22204148955643,0
22/01/02,    0.0000,4.57602575048804,0
23/01/02,    0.0000,4.37140064127743,0
24/01/02,    0.0000,4.5229892898351,0
25/01/02,    0.0000,3.69813524000347,0
26/01/02,    0.0000,4.45162690989673,0
27/01/02,    0.0000,5.72600931115448,0
28/01/02,    0.0000,5.9124009590596,0
29/01/02,    0.0000,5.30898200906813,0
30/01/02,    0.0000,4.89166910946369,0
31/01/02,    0.0000,4.50782346911728,0
01/02/02,    0.0000,5.19309317879379,0
02/02/02,    0.0000,4.30882366932929,0
03/02/02,    0.0000,4.91210355982184,0
04/02/02,    0.0000,4.33902479894459,0
05/02/02,    0.0000,4.78028924949467,0
06/02/02,    0.0000,4.11773592047393,0
07/02/02,    0.0000,4.05646834149957,0
08/02/02,    0.0000,4.06673886440694,0
09/02/02,    0.0000,4.16818149015307,0
10/02/02,    0.0000,4.94229177944362,0
11/02/02,    0.0000,4.50731476955116,0
12/02/02,    0.0000,4.00064367055893,0
13/02/02,    0.0000,2.80864876229316,0
14/02/02,    0.0000,3.42841695249081,0
15/02/02,    0.0000,4.05489074997604,0
16/02/02,    0.0000,4.14067409001291,0
17/02/02,    0.0000,4.25944647006691,0
18/02/02,    0.0000,4.83537293970585,0
19/02/02,    0.0000,4.75438277982175,0
20/02/02,    0.0000,4.16714203357697,0
21/02/02,    0.0000,4.33467527106404,0
22/02/02,    0.0000,4.36541712470353,0
23/02/02,    0.0000,5.04263944923878,0
24/02/02,    0.0000,4.6554333884269,0
25/02/02,    0.0000,4.38347475975752,0
26/02/02,    0.0000,4.61577961780131,0
27/02/02,    0.0000,4.39671975560486,0
28/02/02,    0.0000,4.50587719678879,0
01/03/02,    0.0000,3.93555539753288,0
02/03/02,    0.0000,3.91957457643002,0
03/03/02,    0.0000,4.36229336448014,0
04/03/02,    0.0000,4.00575587712228,0
05/03/02,    0.0000,4.84341287054121,0
06/03/02,    0.0000,5.41817538067698,0
07/03/02,    0.1900,5.32142508029938,0
08/03/02,    2.7679,3.75312803033739,0
09/03/02,   17.8694,3.78927651047707,0
10/03/02,    9.2180,2.17991486284882,0
11/03/02,    0.0000,4.58830619417131,0
12/03/02,    0.0000,4.51011977903545,0
13/03/02,    0.0000,4.74331793002784,0
14/03/02,    0.0000,4.88261877186596,0
15/03/02,    0.0000,4.17792338132858,0
16/03/02,    0.0000,4.9262069799006,0
17/03/02,    0.0000,4.97961521334946,0
18/03/02,    0.0000,4.8061890900135,0
19/03/02,    0.0000,5.40330968052149,0
20/03/02,    0.0000,4.50754169933498,0
21/03/02,    0.0000,3.26483205053955,0
22/03/02,    0.0000,2.64402935933322,0
23/03/02,    0.0000,2.80127769801766,0
24/03/02,    0.0000,3.69494145829231,0
25/03/02,    0.0000,4.13632001914084,0
26/03/02,    0.0000,4.41445422172546,0
27/03/02,    0.0000,5.18593779020011,0
28/03/02,    7.3747,4.69368820078671,0
29/03/02,    5.3792,4.37452637031674,0
30/03/02,    0.0000,5.32793988287449,0
31/03/02,    0.0000,5.30744371935725,0
01/04/02,    0.0000,5.42808194085956,0
02/04/02,    0.0000,4.99317527003586,0
03/04/02,    0.0000,5.35391435958445,0
04/04/02,    4.0040,4.96958656981587,0
05/04/02,    3.8109,4.25943964906037,0
06/04/02,   13.1740,4.50004473701119,0
07/04/02,    6.9896,2.26618213951588,0
08/04/02,    2.1667,4.01584338024259,0
09/04/02,    0.0000,4.44000585004687,0
10/04/02,    3.5385,4.40535703487694,0
11/04/02,    0.0000,4.34677916392684,0
12/04/02,    0.0000,4.99175188876688,0
13/04/02,   12.4760,2.38227305840701,0
14/04/02,    2.9340,3.62406763341278,0
15/04/02,    0.0000,3.1675861151889,0
16/04/02,    0.5272,5.01932566985488,0
17/04/02,    1.1954,4.64960875548422,0
18/04/02,    2.2708,4.97301639057696,0
19/04/02,    0.0000,3.84664874989539,0
20/04/02,    0.0000,4.56359773501754,0
21/04/02,    0.0000,4.7339572366327,0
22/04/02,    0.4218,4.32294159382582,0
23/04/02,    0.4751,5.28881084918976,0
24/04/02,    5.0449,4.81432204134762,0
25/04/02,    0.0000,5.13550287671387,0
26/04/02,    0.0000,4.51958174258471,0
27/04/02,    0.0000,4.73198316060007,0
28/04/02,    0.0000,5.02860528044403,0
29/04/02,    0.3118,3.76057133451104,0
30/04/02,    0.7879,3.88626812119037,0
01/05/02,    1.1636,4.38483328744769,0
02/05/02,    6.2685,3.64343247935176,0
03/05/02,    2.1896,4.31233008764684,0
04/05/02,    0.0000,2.84608399216086,0
05/05/02,    7.7477,4.66071322187781,0
06/05/02,    3.8277,4.79725139215589,0
07/05/02,    3.4205,5.33793204091489,0
08/05/02,    9.9040,5.08297402970493,0
09/05/02,    7.4384,4.67000710777938,0
10/05/02,    0.0000,5.0367588698864,0
11/05/02,    0.0000,4.8568934109062,0
12/05/02,    7.4307,5.21756902523339,0
13/05/02,   15.5007,4.92989144101739,0
14/05/02,    9.9468,2.71935733500868,0
15/05/02,    0.0000,4.67437515407801,0
16/05/02,    0.2133,4.76130048371851,0
17/05/02,    2.9527,2.45209606271237,0
18/05/02,    5.5240,4.62095069140196,0
19/05/02,    8.7089,3.39970539975911,0
20/05/02,    0.0000,4.69719974324107,0
21/05/02,    1.3370,3.93690840993077,0
22/05/02,    0.3139,3.92413149308413,0
23/05/02,    4.2098,4.33490634709597,0
24/05/02,    5.3847,4.32259729877114,0
25/05/02,    0.0000,4.50944784656167,0
26/05/02,    5.1516,4.97073605284095,0
27/05/02,    5.5696,4.43702179938555,0
28/05/02,    8.7495,3.06012984085828,0
29/05/02,    1.1155,3.43876509834081,0
